source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Web of Science,WOS:000426878400009,,Proceedings Paper,The complete robot? The human-machine interface in temporary off-site construction work,"Dowsett, Ruth; Harty, Chris; Davies, Richard",2017,,"author_keywords=['Robotics', 'Automation', 'Prefabrication', 'Off-site manufacture']",,PROCEEDINGS OF THE 9TH NORDIC CONFERENCE ON CONSTRUCTION ECONOMICS AND ORGANIZATION,,wos_rob_be
Web of Science,WOS:000427713300035,10.1080/10464883.2018.1410668,Article,Autonomy and Automation in the Architectural Project: The Algorithm of Hypermobile Commuter's City,"Delso Gutierrez, Rodrigo; Argota Sanchez-Vaquerizo, Javier",2018,,author_keywords=[],,JOURNAL OF ARCHITECTURAL EDUCATION,,wos_rob_be
Web of Science,WOS:000427262400151,,Proceedings Paper,Wearing Your Arm on Your Sleeve: Studying Usage Contexts for a Wearable Robotic Forearm,"Vatsal, Vighnesh; Hoffman, Guy",2017,,author_keywords=[],,2017 26TH IEEE INTERNATIONAL SYMPOSIUM ON ROBOT AND HUMAN INTERACTIVE COMMUNICATION (RO-MAN),,wos_rob_be
Web of Science,WOS:000426884800071,,Proceedings Paper,EFFICACY OF LOCALIZATION THROUGH MAGNETS EMBEDDED IN INFRASTRUCTURE,"Schwartz, Mathew; Zarzycki, Andrzej",2017,,"author_keywords=['Autonomous Car', 'Localization', 'Infrastructure', 'Robotics']",,PROCEEDINGS OF THE 22ND INTERNATIONAL CONFERENCE ON COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA 2017),,wos_rob_be
Web of Science,WOS:000424571200011,10.20397/2177-6652/2017.v17i1.1002,Article,Divisionalisation and accounting for responsibility: case study in business operations and services,"Sbors, Rosemeire Aparecida; Gasparetto, Valdirene; Schafer, Joice Denise",2017,,"author_keywords=['Accounting for responsibility', 'Responsibility centers', 'Performance evaluation']",,REVISTA GESTAO & TECNOLOGIA-JOURNAL OF MANAGEMENT AND TECHNOLOGY,,wos_rob_be
Web of Science,WOS:000419383500046,10.1088/1757-899X/251/1/012046,Proceedings Paper,Mechanisation and automation technologies development in work at construction sites,"Sobotka, A.; Pacewicz, K.",2017,,author_keywords=[],,"3RD INTERNATIONAL CONFERENCE ON INNOVATIVE MATERIALS, STRUCTURES AND TECHNOLOGIES (IMST 2017)",,wos_rob_be
Web of Science,WOS:000418791400016,10.1007/978-3-319-54283-6_16,Proceedings Paper,How to Help Elderly in Indoor Evacuation Wayfinding: Design and Test of a Not-Invasive Solution for Reducing Fire Egress Time in Building Heritage Scenarios,"Bernardini, Gabriele; Quagliarini, Enrico; D'Orazio, Marco; Santarelli, Silvia",2017,,"author_keywords=['Elderly safety', 'Elderly emergency evacuation', 'Risk-reduction building components for elderly', 'Wayfinding systems', 'Historical building safety', 'Fire evacuation']",,AMBIENT ASSISTED LIVING,,wos_rob_be
Web of Science,WOS:000526176700096,,Proceedings Paper,SECURITY GEODETIC MONITORING OF STRUCTURES,"Bures, Jiri; Bartonek, Dalibor; Kalina, Marek; Svabensky, Otakar",2018,,"author_keywords=['security monitoring', 'monitoring information system']",,"7TH INTERNATIONAL CONFERENCE ON CARTOGRAPHY AND GIS, VOLS 1 AND 2",,wos_rob_be
Web of Science,WOS:000552392300080,10.1016/j.proeng.2018.01.081,Proceedings Paper,"Examining the role of urban form in supporting rapid and safe tsunami evacuations: a multi-scalar analysis in Vina del Mar, Chile","Leon, Jorge; Mokrani, Cyril; Catalan, Patricio; Cienfuegos, Rodrigo; Femenias, Carolina",2018,,"author_keywords=['Urban form', 'Tsunami', 'Evacuation', 'Disasters']",,7TH INTERNATIONAL CONFERENCE ON BUILDING RESILIENCE: USING SCIENTIFIC KNOWLEDGE TO INFORM POLICY AND PRACTICE IN DISASTER RISK REDUCTION,,wos_rob_be
Web of Science,WOS:000517984800329,,Proceedings Paper,Design of Robot based Work Progress Monitoring System for the Building Construction Site,"Lee, Joa Hyoung; Park, Jeong-Ho; Jang, Byung-Tae",2018,,"author_keywords=['robot', 'progress monitoring', 'construction']",,2018 INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGY CONVERGENCE (ICTC),,wos_rob_be
Web of Science,WOS:000541116600012,,Proceedings Paper,Proof of Concept for the Use of Small Unmanned Surface Vehicle in Built Environment Management,"Shojaei, Alireza; Moud, Hashem Izadi; Flood, Ian",2018,,author_keywords=[],,CONSTRUCTION RESEARCH CONGRESS 2018: CONSTRUCTION INFORMATION TECHNOLOGY,,wos_rob_be
Web of Science,WOS:000414785300003,10.1007/s10798-016-9369-9,Article,Preventing or inventing? Understanding the effects of non-prescriptive design briefs,"Oliveira, Sonja; Marco, Elena",2017,,"author_keywords=['Architecture', 'Environmental engineering', 'Pedagogy', 'Sustainability', 'Design education']",,INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,,wos_rob_be
Web of Science,WOS:000413022000060,10.1007/978-3-319-49058-8_60,Proceedings Paper,Design of Modular Re-configurable Robotic System for Construction and Digital Fabrication,"Vujovic, Milica; Rodic, Aleksandar; Stevanovic, Ilija",2017,,"author_keywords=['Construction robots', 'Digital fabrication', 'Robotic building cell', 'Modular architecture', 'Reconfigurable structures']",,ADVANCES IN ROBOT DESIGN AND INTELLIGENT CONTROL,,wos_rob_be
Web of Science,WOS:000411319000057,10.15405/epsbs.2017.05.02.58,Proceedings Paper,"THE NEED FOR AUTONOMY OF TEACHERS IN ""PLAYING WITH ARCHITECTURE"" PROJECT","Bostan, Gabriela",2017,,"author_keywords=['Curriculum', 'inter- and transdisciplinarity', 'education through architecture', 'life skills', 'built environment', 'co-teaching']",,EDU WORLD 7TH INTERNATIONAL CONFERENCE,,wos_rob_be
Web of Science,WOS:000410012800005,10.1016/j.asr.2017.06.038,Article,"Extra-terrestrial construction processes - Advancements, opportunities and challenges","Lim, Sungwoo; Prabhu, Vibha Levin; Anand, Mahesh; Taylor, Lawrence A.",2017,,"author_keywords=['Extra-terrestrial construction process', 'Additive manufacturing', '3D printing', 'Microwave-sintering', 'In-situ resource utilisation']",,ADVANCES IN SPACE RESEARCH,,wos_rob_be
Web of Science,WOS:000408854500001,10.5821/ace.12.34.4756,Article,THE INFLUENCE OF LIFESTYLE AND BUILT ENVIRONMENT FACTORS ON TRANSPORT CO<sub>2</sub> EMISSIONS: THE CASE STUDY OF AUTONOMOUS UNIVERSITY OF BARCELONA,"Soria-Lara, Julio A.; Miralles-Guasch, Carme; Marquet, Oriol",2017,,"author_keywords=['Survey', 'greenhouse emissions', 'sustainability', 'Climate Change']",,ACE-ARCHITECTURE CITY AND ENVIRONMENT,,wos_rob_be
Web of Science,WOS:000445613500006,10.1353/cot.2017.0016,Article,CONTEMPORARY ARCHITECTURE IN DIALOGUE WITH THE HISTORIC CITY,"Vegas, Fernando; Mileto, Camilla",2017,,author_keywords=[],,CHANGE OVER TIME-AN INTERNATIONAL JOURNAL OF CONSERVATION AND THE BUILT ENVIRONMENT,,wos_rob_be
Web of Science,WOS:000404992900006,10.1177/0042098016643455,Article,"Making urbanisation compact and equal: Integrating rural villages into urban communities in Kunshan, China","Zhu, Jieming",2017,,"author_keywords=['built environment', 'China', 'compact urbanisation', 'industrialisation', 'land scarcity', 'rural development', 'urbanisation and developing countries']",,URBAN STUDIES,,wos_rob_be
Web of Science,WOS:000404968300017,10.1002/ad.2204,Article,2060: An Autonomously Crafted Built Environment,"Simondetti, Alvise; Luebkeman, Chris; Uerz, Gereon",2017,,"author_keywords=['Ai Build', 'Arup', 'Daedalus Pavilion', 'Nvidia GPU Technology Conference', 'Amsterdam', 'Autonomous systems', 'Fab Labs', 'Skanska', 'Ray and Maria Stata Center', 'Massachusetts Institute of Technology (MIT)', 'Boston', 'Frank Gehry', 'Alvaro Siza', 'Eduardo Souto de Moura', 'London', 'Serpentine Gallery', 'Kensington Gardens', 'Steve Walker', 'RMIT University', 'Smart Nodes Pavilion', 'Engineers Australia Convention', 'Melbourne', 'Singapore Sports Hub', 'Kallang', 'Altair', 'WithinLab (now Autodesk Within)', '3D Systems', 'Grote Marktstraat', 'The Hague', 'Netherlands', 'GPU Technology Conference', 'Industrial Revolution', 'Technological Revolution', 'First World War', 'Chicago', 'New York', 'Digital Revolution', 'smartphone app revolution']",,ARCHITECTURAL DESIGN,,wos_rob_be
Web of Science,WOS:000402955904104,,Proceedings Paper,"EXPLORING THE USE OF ""i-LEARN"" PLATFORM FOR MULTI-DISCIPLINARY TEACHING OF BUILT ENVIRONMENT PROGRAMMES","Mahbub, Rohana",2016,,"author_keywords=['i-Learn Portal', 'E-Learning', 'Multi-disciplinary Teaching', 'Built Environment']",,EDULEARN16: 8TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES,,wos_rob_be
Web of Science,WOS:000402883700024,10.15376/biores.12.2.2565-2578,Article,A Comparative Study of the Performance of Wood-Plastic Composites and Typical Substrates as Heating Floor,"Yi, Xin; Zhao, Dawei; Ou, Rongxian; Ma, Junbao; Chen, Yuan; Wang, Qingwen",2017,,"author_keywords=['Heating floor', 'Wood-plastic composites', 'Thermal properties', 'Infrared thermal imaging', 'Building materials']",,BIORESOURCES,,wos_rob_be
Web of Science,WOS:000402090300011,10.3390/su9040488,Article,Estimates of Economic Loss of Materials Caused by Acid Deposition in China,"Zhang, Yinjun; Li, Qian; Zhang, Fengying; Xie, Gaodi",2017,,"author_keywords=['materials damage', 'economic loss evaluation', 'material exposure inventory', 'China', 'acid rain', 'SO2']",,SUSTAINABILITY,,wos_rob_be
Web of Science,WOS:000402063700004,,Proceedings Paper,The Wave of Autonomous Mobility: <i>Architecture Facilitating Indoor Autonomous Navigation</i>,"Kim, Jaehwan; Schwartz, Mathew; Zarzycki, Andrzej",2016,,"author_keywords=['Autonomous Vehicle', 'Navigation', 'Localization', 'Smart Buildings', 'Smart Infrastructure']",,"ECAADE 2016: COMPLEXITY & SIMPLICITY, VOL 1",,wos_rob_be
Web of Science,WOS:000401630800062,10.1007/s00542-016-3083-0,Article,Modal and fatigue analysis of critical components of an amphibious spherical robot,"Guo, Shuxiang; He, Yanlin; Shi, Liwei; Pan, Shaowu; Tang, Kun; Xiao, Rui; Guo, Ping",2017,,author_keywords=[],,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,,wos_rob_be
Web of Science,WOS:000400276800027,,Proceedings Paper,Knowledge Management Practices and Usage of Knowledge Databases in Norwegian Organizations,"Ekambaram, Anandasivakumar; Stene, Trine Marie; Dahl, Unni; Tradin, Hilde Merete",2016,,"author_keywords=['knowledge sharing', 'culture', 'systems', 'database', 'communities of practice (CoP)']",,PROCEEDINGS OF THE 17TH EUROPEAN CONFERENCE ON KNOWLEDGE MANAGEMENT,,wos_rob_be
Web of Science,WOS:000441515700004,10.1126/scirobotics.aan3686,Editorial Material,"Toward autonomous architecture: The convergence of digital design, robotics, and the built environment","Pawar, Vijay M.; Stuart-Smith, Robert; Scully, Peter",2017,,author_keywords=[],,SCIENCE ROBOTICS,,wos_rob_be
